1 :  []
669 :  [3, 223]
670 :  [2, 5, 67]
671 :  [11, 61]
672 :  [2, 2, 2, 2, 2, 3, 7]
673 :  [673]
674 :  [2, 337]
675 :  [3, 3, 3, 5, 5]
676 :  [2, 2, 13, 13]
677 :  [677]
678 :  [2, 3, 113]
679 :  [7, 97]
680 :  [2, 2, 2, 5, 17]
681 :  [3, 227]
682 :  [2, 11, 31]
683 :  [683]
684 :  [2, 2, 3, 3, 19]
685 :  [5, 137]
686 :  [2, 7, 7, 7]
687 :  [3, 229]
688 :  [2, 2, 2, 2, 43]
689 :  [13, 53]
690 :  [2, 3, 5, 23]
691 :  [691]
692 :  [2, 2, 173]
693 :  [3, 3, 7, 11]
694 :  [2, 347]
695 :  [5, 139]
696 :  [2, 2, 2, 3, 29]
697 :  [17, 41]
698 :  [2, 349]
699 :  [3, 233]
700 :  [2, 2, 5, 5, 7]
701 :  [701]
702 :  [2, 3, 3, 3, 13]
703 :  [19, 37]
704 :  [2, 2, 2, 2, 2, 2, 11]
705 :  [3, 5, 47]
706 :  [2, 353]
707 :  [7, 101]
708 :  [2, 2, 3, 59]
709 :  [709]
710 :  [2, 5, 71]
711 :  [3, 3, 79]
712 :  [2, 2, 2, 89]
713 :  [23, 31]
714 :  [2, 3, 7, 17]
715 :  [5, 11, 13]
716 :  [2, 2, 179]
717 :  [3, 239]
718 :  [2, 359]
719 :  [719]
720 :  [2, 2, 2, 2, 3, 3, 5]
721 :  [7, 103]
722 :  [2, 19, 19]
723 :  [3, 241]
724 :  [2, 2, 181]
725 :  [5, 5, 29]
726 :  [2, 3, 11, 11]
727 :  [727]
728 :  [2, 2, 2, 7, 13]
729 :  [3, 3, 3, 3, 3, 3]
730 :  [2, 5, 73]
731 :  [17, 43]
732 :  [2, 2, 3, 61]
733 :  [733]
734 :  [2, 367]
735 :  [3, 5, 7, 7]
736 :  [2, 2, 2, 2, 2, 23]
737 :  [11, 67]
738 :  [2, 3, 3, 41]
739 :  [739]
740 :  [2, 2, 5, 37]
741 :  [3, 13, 19]
742 :  [2, 7, 53]
743 :  [743]
744 :  [2, 2, 2, 3, 31]
745 :  [5, 149]
746 :  [2, 373]
747 :  [3, 3, 83]
748 :  [2, 2, 11, 17]
749 :  [7, 107]
750 :  [2, 3, 5, 5, 5]
751 :  [751]
752 :  [2, 2, 2, 2, 47]
753 :  [3, 251]
754 :  [2, 13, 29]
755 :  [5, 151]
756 :  [2, 2, 3, 3, 3, 7]
757 :  [757]
758 :  [2, 379]
759 :  [3, 11, 23]
760 :  [2, 2, 2, 5, 19]
761 :  [761]
762 :  [2, 3, 127]
763 :  [7, 109]
764 :  [2, 2, 191]
765 :  [3, 3, 5, 17]
766 :  [2, 383]
767 :  [13, 59]
768 :  [2, 2, 2, 2, 2, 2, 2, 2, 3]
769 :  [769]
770 :  [2, 5, 7, 11]
771 :  [3, 257]
772 :  [2, 2, 193]
773 :  [773]
774 :  [2, 3, 3, 43]
775 :  [5, 5, 31]
776 :  [2, 2, 2, 97]
777 :  [3, 7, 37]
778 :  [2, 389]
779 :  [19, 41]
780 :  [2, 2, 3, 5, 13]
781 :  [11, 71]
782 :  [2, 17, 23]
783 :  [3, 3, 3, 29]
784 :  [2, 2, 2, 2, 7, 7]
785 :  [5, 157]
786 :  [2, 3, 131]
787 :  [787]
788 :  [2, 2, 197]
789 :  [3, 263]
790 :  [2, 5, 79]
791 :  [7, 113]
792 :  [2, 2, 2, 3, 3, 11]
793 :  [13, 61]
794 :  [2, 397]
795 :  [3, 5, 53]
796 :  [2, 2, 199]
797 :  [797]
798 :  [2, 3, 7, 19]
799 :  [17, 47]
800 :  [2, 2, 2, 2, 2, 5, 5]
801 :  [3, 3, 89]
802 :  [2, 401]
803 :  [11, 73]
804 :  [2, 2, 3, 67]
805 :  [5, 7, 23]
806 :  [2, 13, 31]
807 :  [3, 269]
808 :  [2, 2, 2, 101]
809 :  [809]
810 :  [2, 3, 3, 3, 3, 5]
811 :  [811]
812 :  [2, 2, 7, 29]
813 :  [3, 271]
814 :  [2, 11, 37]
815 :  [5, 163]
816 :  [2, 2, 2, 2, 3, 17]
817 :  [19, 43]
818 :  [2, 409]
819 :  [3, 3, 7, 13]
820 :  [2, 2, 5, 41]
821 :  [821]
822 :  [2, 3, 137]
823 :  [823]
824 :  [2, 2, 2, 103]
825 :  [3, 5, 5, 11]
826 :  [2, 7, 59]
827 :  [827]
828 :  [2, 2, 3, 3, 23]
829 :  [829]
830 :  [2, 5, 83]
831 :  [3, 277]
832 :  [2, 2, 2, 2, 2, 2, 13]
833 :  [7, 7, 17]
834 :  [2, 3, 139]
835 :  [5, 167]
836 :  [2, 2, 11, 19]
837 :  [3, 3, 3, 31]
838 :  [2, 419]
839 :  [839]
840 :  [2, 2, 2, 3, 5, 7]
841 :  [29, 29]
842 :  [2, 421]
843 :  [3, 281]
844 :  [2, 2, 211]
845 :  [5, 13, 13]
846 :  [2, 3, 3, 47]
847 :  [7, 11, 11]
848 :  [2, 2, 2, 2, 53]
849 :  [3, 283]
850 :  [2, 5, 5, 17]
851 :  [23, 37]
852 :  [2, 2, 3, 71]
853 :  [853]
854 :  [2, 7, 61]
855 :  [3, 3, 5, 19]
856 :  [2, 2, 2, 107]
857 :  [857]
858 :  [2, 3, 11, 13]
859 :  [859]
860 :  [2, 2, 5, 43]
861 :  [3, 7, 41]
862 :  [2, 431]
863 :  [863]
864 :  [2, 2, 2, 2, 2, 3, 3, 3]
865 :  [5, 173]
866 :  [2, 433]
867 :  [3, 17, 17]
868 :  [2, 2, 7, 31]
869 :  [11, 79]
870 :  [2, 3, 5, 29]
871 :  [13, 67]
872 :  [2, 2, 2, 109]
873 :  [3, 3, 97]
874 :  [2, 19, 23]
875 :  [5, 5, 5, 7]
876 :  [2, 2, 3, 73]
877 :  [877]
878 :  [2, 439]
879 :  [3, 293]
880 :  [2, 2, 2, 2, 5, 11]
881 :  [881]
882 :  [2, 3, 3, 7, 7]
883 :  [883]
884 :  [2, 2, 13, 17]
885 :  [3, 5, 59]
886 :  [2, 443]
887 :  [887]
888 :  [2, 2, 2, 3, 37]
889 :  [7, 127]
890 :  [2, 5, 89]
891 :  [3, 3, 3, 3, 11]
892 :  [2, 2, 223]
893 :  [19, 47]
894 :  [2, 3, 149]
895 :  [5, 179]
896 :  [2, 2, 2, 2, 2, 2, 2, 7]
897 :  [3, 13, 23]
898 :  [2, 449]
899 :  [29, 31]
900 :  [2, 2, 3, 3, 5, 5]
901 :  [17, 53]
902 :  [2, 11, 41]
903 :  [3, 7, 43]
904 :  [2, 2, 2, 113]
905 :  [5, 181]
906 :  [2, 3, 151]
907 :  [907]
908 :  [2, 2, 227]
909 :  [3, 3, 101]
910 :  [2, 5, 7, 13]
911 :  [911]
912 :  [2, 2, 2, 2, 3, 19]
913 :  [11, 83]
914 :  [2, 457]
915 :  [3, 5, 61]
916 :  [2, 2, 229]
917 :  [7, 131]
918 :  [2, 3, 3, 3, 17]
919 :  [919]
920 :  [2, 2, 2, 5, 23]
921 :  [3, 307]
922 :  [2, 461]
923 :  [13, 71]
924 :  [2, 2, 3, 7, 11]
925 :  [5, 5, 37]
926 :  [2, 463]
927 :  [3, 3, 103]
928 :  [2, 2, 2, 2, 2, 29]
929 :  [929]
930 :  [2, 3, 5, 31]
931 :  [7, 7, 19]
932 :  [2, 2, 233]
933 :  [3, 311]
934 :  [2, 467]
935 :  [5, 11, 17]
936 :  [2, 2, 2, 3, 3, 13]
937 :  [937]
938 :  [2, 7, 67]
939 :  [3, 313]
940 :  [2, 2, 5, 47]
941 :  [941]
942 :  [2, 3, 157]
943 :  [23, 41]
944 :  [2, 2, 2, 2, 59]
945 :  [3, 3, 3, 5, 7]
946 :  [2, 11, 43]
947 :  [947]
948 :  [2, 2, 3, 79]
949 :  [13, 73]
950 :  [2, 5, 5, 19]
951 :  [3, 317]
952 :  [2, 2, 2, 7, 17]
953 :  [953]
954 :  [2, 3, 3, 53]
955 :  [5, 191]
956 :  [2, 2, 239]
957 :  [3, 11, 29]
958 :  [2, 479]
959 :  [7, 137]
960 :  [2, 2, 2, 2, 2, 2, 3, 5]
961 :  [31, 31]
962 :  [2, 13, 37]
963 :  [3, 3, 107]
964 :  [2, 2, 241]
965 :  [5, 193]
966 :  [2, 3, 7, 23]
967 :  [967]
968 :  [2, 2, 2, 11, 11]
969 :  [3, 17, 19]
970 :  [2, 5, 97]
971 :  [971]
972 :  [2, 2, 3, 3, 3, 3, 3]
973 :  [7, 139]
974 :  [2, 487]
975 :  [3, 5, 5, 13]
976 :  [2, 2, 2, 2, 61]
977 :  [977]
978 :  [2, 3, 163]
979 :  [11, 89]
980 :  [2, 2, 5, 7, 7]
981 :  [3, 3, 109]
982 :  [2, 491]
983 :  [983]
984 :  [2, 2, 2, 3, 41]
985 :  [5, 197]
986 :  [2, 17, 29]
987 :  [3, 7, 47]
988 :  [2, 2, 13, 19]
989 :  [23, 43]
990 :  [2, 3, 3, 5, 11]
991 :  [991]
992 :  [2, 2, 2, 2, 2, 31]
993 :  [3, 331]
994 :  [2, 7, 71]
995 :  [5, 199]
996 :  [2, 2, 3, 83]
997 :  [997]
998 :  [2, 499]
999 :  [3, 3, 3, 37]
1000 :  [2, 2, 2, 5, 5, 5]
1001 :  [7, 11, 13]
1002 :  [2, 3, 167]
1003 :  [17, 59]
1004 :  [2, 2, 251]
1005 :  [3, 5, 67]
1006 :  [2, 503]
1007 :  [19, 53]
1008 :  [2, 2, 2, 2, 3, 3, 7]
1009 :  [1009]
1010 :  [2, 5, 101]
1011 :  [3, 337]
1012 :  [2, 2, 11, 23]
1013 :  [1013]
1014 :  [2, 3, 13, 13]
1015 :  [5, 7, 29]
1016 :  [2, 2, 2, 127]
1017 :  [3, 3, 113]
1018 :  [2, 509]
1019 :  [1019]
1020 :  [2, 2, 3, 5, 17]
1021 :  [1021]
1022 :  [2, 7, 73]
1023 :  [3, 11, 31]
1024 :  [2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
1025 :  [5, 5, 41]
1026 :  [2, 3, 3, 3, 19]
1027 :  [13, 79]
1028 :  [2, 2, 257]
1029 :  [3, 7, 7, 7]
1030 :  [2, 5, 103]
1031 :  [1031]
1032 :  [2, 2, 2, 3, 43]
1033 :  [1033]
1034 :  [2, 11, 47]
1035 :  [3, 3, 5, 23]
1036 :  [2, 2, 7, 37]
1037 :  [17, 61]
1038 :  [2, 3, 173]
1039 :  [1039]
1040 :  [2, 2, 2, 2, 5, 13]
1041 :  [3, 347]
1042 :  [2, 521]
1043 :  [7, 149]
1044 :  [2, 2, 3, 3, 29]
1045 :  [5, 11, 19]
1046 :  [2, 523]
1047 :  [3, 349]
1048 :  [2, 2, 2, 131]
1049 :  [1049]
1050 :  [2, 3, 5, 5, 7]
1051 :  [1051]
1052 :  [2, 2, 263]
1053 :  [3, 3, 3, 3, 13]
1054 :  [2, 17, 31]
1055 :  [5, 211]
1056 :  [2, 2, 2, 2, 2, 3, 11]
1057 :  [7, 151]
1058 :  [2, 23, 23]
1059 :  [3, 353]
1060 :  [2, 2, 5, 53]
1061 :  [1061]
1062 :  [2, 3, 3, 59]
1063 :  [1063]
1064 :  [2, 2, 2, 7, 19]
1065 :  [3, 5, 71]
1066 :  [2, 13, 41]
1067 :  [11, 97]
1068 :  [2, 2, 3, 89]
1069 :  [1069]
1070 :  [2, 5, 107]
1071 :  [3, 3, 7, 17]
1072 :  [2, 2, 2, 2, 67]
1073 :  [29, 37]
1074 :  [2, 3, 179]
1075 :  [5, 5, 43]
1076 :  [2, 2, 269]
1077 :  [3, 359]
1078 :  [2, 7, 7, 11]
1079 :  [13, 83]
1080 :  [2, 2, 2, 3, 3, 3, 5]
1081 :  [23, 47]
1082 :  [2, 541]
1083 :  [3, 19, 19]
1084 :  [2, 2, 271]
1085 :  [5, 7, 31]
1086 :  [2, 3, 181]
1087 :  [1087]
1088 :  [2, 2, 2, 2, 2, 2, 17]
1089 :  [3, 3, 11, 11]
1090 :  [2, 5, 109]
1091 :  [1091]
1092 :  [2, 2, 3, 7, 13]
1093 :  [1093]
1094 :  [2, 547]
1095 :  [3, 5, 73]
1096 :  [2, 2, 2, 137]
1097 :  [1097]
1098 :  [2, 3, 3, 61]
1099 :  [7, 157]
1100 :  [2, 2, 5, 5, 11]
1101 :  [3, 367]
1102 :  [2, 19, 29]
1103 :  [1103]
1104 :  [2, 2, 2, 2, 3, 23]
1105 :  [5, 13, 17]
1106 :  [2, 7, 79]
1107 :  [3, 3, 3, 41]
1108 :  [2, 2, 277]
1109 :  [1109]
1110 :  [2, 3, 5, 37]
1111 :  [11, 101]
1112 :  [2, 2, 2, 139]
1113 :  [3, 7, 53]
1114 :  [2, 557]
1115 :  [5, 223]
1116 :  [2, 2, 3, 3, 31]
1117 :  [1117]
1118 :  [2, 13, 43]
1119 :  [3, 373]
1120 :  [2, 2, 2, 2, 2, 5, 7]
1121 :  [19, 59]
1122 :  [2, 3, 11, 17]
1123 :  [1123]
1124 :  [2, 2, 281]
1125 :  [3, 3, 5, 5, 5]
1126 :  [2, 563]
1127 :  [7, 7, 23]
1128 :  [2, 2, 2, 3, 47]
1129 :  [1129]
1130 :  [2, 5, 113]
1131 :  [3, 13, 29]
1132 :  [2, 2, 283]
1133 :  [11, 103]
1134 :  [2, 3, 3, 3, 3, 7]
1135 :  [5, 227]
1136 :  [2, 2, 2, 2, 71]
1137 :  [3, 379]
1138 :  [2, 569]
1139 :  [17, 67]
1140 :  [2, 2, 3, 5, 19]
1141 :  [7, 163]
1142 :  [2, 571]
1143 :  [3, 3, 127]
1144 :  [2, 2, 2, 11, 13]
1145 :  [5, 229]
1146 :  [2, 3, 191]
1147 :  [31, 37]
1148 :  [2, 2, 7, 41]
1149 :  [3, 383]
1150 :  [2, 5, 5, 23]
1151 :  [1151]
1152 :  [2, 2, 2, 2, 2, 2, 2, 3, 3]
1153 :  [1153]
1154 :  [2, 577]
1155 :  [3, 5, 7, 11]
1156 :  [2, 2, 17, 17]
1157 :  [13, 89]
1158 :  [2, 3, 193]
1159 :  [19, 61]
1160 :  [2, 2, 2, 5, 29]
1161 :  [3, 3, 3, 43]
1162 :  [2, 7, 83]
1163 :  [1163]
1164 :  [2, 2, 3, 97]
1165 :  [5, 233]
1166 :  [2, 11, 53]
1167 :  [3, 389]
1168 :  [2, 2, 2, 2, 73]
1169 :  [7, 167]
1170 :  [2, 3, 3, 5, 13]
1171 :  [1171]
1172 :  [2, 2, 293]
1173 :  [3, 17, 23]
1174 :  [2, 587]
1175 :  [5, 5, 47]
1176 :  [2, 2, 2, 3, 7, 7]
1177 :  [11, 107]
1178 :  [2, 19, 31]
1179 :  [3, 3, 131]
1180 :  [2, 2, 5, 59]
1181 :  [1181]
1182 :  [2, 3, 197]
1183 :  [7, 13, 13]
1184 :  [2, 2, 2, 2, 2, 37]
1185 :  [3, 5, 79]
1186 :  [2, 593]
1187 :  [1187]
1188 :  [2, 2, 3, 3, 3, 11]
1189 :  [29, 41]
1190 :  [2, 5, 7, 17]
1191 :  [3, 397]
1192 :  [2, 2, 2, 149]
1193 :  [1193]
1194 :  [2, 3, 199]
1195 :  [5, 239]
1196 :  [2, 2, 13, 23]
1197 :  [3, 3, 7, 19]
1198 :  [2, 599]
1199 :  [11, 109]
1200 :  [2, 2, 2, 2, 3, 5, 5]
1201 :  [1201]
1202 :  [2, 601]
1203 :  [3, 401]
1204 :  [2, 2, 7, 43]
1205 :  [5, 241]
1206 :  [2, 3, 3, 67]
1207 :  [17, 71]
1208 :  [2, 2, 2, 151]
1209 :  [3, 13, 31]
1210 :  [2, 5, 11, 11]
1211 :  [7, 173]
1212 :  [2, 2, 3, 101]
1213 :  [1213]
1214 :  [2, 607]
1215 :  [3, 3, 3, 3, 3, 5]
1216 :  [2, 2, 2, 2, 2, 2, 19]
1217 :  [1217]
1218 :  [2, 3, 7, 29]
1219 :  [23, 53]
1220 :  [2, 2, 5, 61]
1221 :  [3, 11, 37]
1222 :  [2, 13, 47]
1223 :  [1223]
1224 :  [2, 2, 2, 3, 3, 17]
1225 :  [5, 5, 7, 7]
1226 :  [2, 613]
1227 :  [3, 409]
1228 :  [2, 2, 307]
1229 :  [1229]
1230 :  [2, 3, 5, 41]
1231 :  [1231]
1232 :  [2, 2, 2, 2, 7, 11]
1233 :  [3, 3, 137]
1234 :  [2, 617]
1235 :  [5, 13, 19]
1236 :  [2, 2, 3, 103]
1237 :  [1237]
1238 :  [2, 619]
1239 :  [3, 7, 59]
1240 :  [2, 2, 2, 5, 31]
1241 :  [17, 73]
1242 :  [2, 3, 3, 3, 23]
1243 :  [11, 113]
1244 :  [2, 2, 311]
1245 :  [3, 5, 83]
1246 :  [2, 7, 89]
1247 :  [29, 43]
1248 :  [2, 2, 2, 2, 2, 3, 13]
1249 :  [1249]
1250 :  [2, 5, 5, 5, 5]
1251 :  [3, 3, 139]
1252 :  [2, 2, 313]
1253 :  [7, 179]
1254 :  [2, 3, 11, 19]
1255 :  [5, 251]
1256 :  [2, 2, 2, 157]
1257 :  [3, 419]
1258 :  [2, 17, 37]
1259 :  [1259]
1260 :  [2, 2, 3, 3, 5, 7]
1261 :  [13, 97]
1262 :  [2, 631]
1263 :  [3, 421]
1264 :  [2, 2, 2, 2, 79]
1265 :  [5, 11, 23]
1266 :  [2, 3, 211]
1267 :  [7, 181]
1268 :  [2, 2, 317]
1269 :  [3, 3, 3, 47]
1270 :  [2, 5, 127]
1271 :  [31, 41]
1272 :  [2, 2, 2, 3, 53]
1273 :  [19, 67]
1274 :  [2, 7, 7, 13]
1275 :  [3, 5, 5, 17]
1276 :  [2, 2, 11, 29]
1277 :  [1277]
1278 :  [2, 3, 3, 71]
1279 :  [1279]
1280 :  [2, 2, 2, 2, 2, 2, 2, 2, 5]
1281 :  [3, 7, 61]
1282 :  [2, 641]
1283 :  [1283]
1284 :  [2, 2, 3, 107]
1285 :  [5, 257]
1286 :  [2, 643]
1287 :  [3, 3, 11, 13]
1288 :  [2, 2, 2, 7, 23]
1289 :  [1289]
1290 :  [2, 3, 5, 43]
1291 :  [1291]
1292 :  [2, 2, 17, 19]
1293 :  [3, 431]
1294 :  [2, 647]
1295 :  [5, 7, 37]
1296 :  [2, 2, 2, 2, 3, 3, 3, 3]
1297 :  [1297]
1298 :  [2, 11, 59]
1299 :  [3, 433]
1300 :  [2, 2, 5, 5, 13]
1301 :  [1301]
1302 :  [2, 3, 7, 31]
1303 :  [1303]
1304 :  [2, 2, 2, 163]
1305 :  [3, 3, 5, 29]
1306 :  [2, 653]
1307 :  [1307]
1308 :  [2, 2, 3, 109]
1309 :  [7, 11, 17]
1310 :  [2, 5, 131]
1311 :  [3, 19, 23]
1312 :  [2, 2, 2, 2, 2, 41]
1313 :  [13, 101]
1314 :  [2, 3, 3, 73]
1315 :  [5, 263]
1316 :  [2, 2, 7, 47]
1317 :  [3, 439]
1318 :  [2, 659]
1319 :  [1319]
1320 :  [2, 2, 2, 3, 5, 11]
1321 :  [1321]
1322 :  [2, 661]
1323 :  [3, 3, 3, 7, 7]
1324 :  [2, 2, 331]
1325 :  [5, 5, 53]
1326 :  [2, 3, 13, 17]
1327 :  [1327]
1328 :  [2, 2, 2, 2, 83]
1329 :  [3, 443]
1330 :  [2, 5, 7, 19]
1331 :  [11, 11, 11]
1332 :  [2, 2, 3, 3, 37]
1333 :  [31, 43]
1334 :  [2, 23, 29]
1335 :  [3, 5, 89]
1336 :  [2, 2, 2, 167]
1337 :  [7, 191]
1338 :  [2, 3, 223]
1339 :  [13, 103]
1340 :  [2, 2, 5, 67]
1341 :  [3, 3, 149]
1342 :  [2, 11, 61]
1343 :  [17, 79]
1344 :  [2, 2, 2, 2, 2, 2, 3, 7]
1345 :  [5, 269]
1346 :  [2, 673]
1347 :  [3, 449]
1348 :  [2, 2, 337]
1349 :  [19, 71]
1350 :  [2, 3, 3, 3, 5, 5]
1351 :  [7, 193]
1352 :  [2, 2, 2, 13, 13]
1353 :  [3, 11, 41]
1354 :  [2, 677]
1355 :  [5, 271]
1356 :  [2, 2, 3, 113]
1357 :  [23, 59]
1358 :  [2, 7, 97]
1359 :  [3, 3, 151]
1360 :  [2, 2, 2, 2, 5, 17]
1361 :  [1361]
1362 :  [2, 3, 227]
1363 :  [29, 47]
1364 :  [2, 2, 11, 31]
1365 :  [3, 5, 7, 13]
1366 :  [2, 683]
1367 :  [1367]
1368 :  [2, 2, 2, 3, 3, 19]
1369 :  [37, 37]
1370 :  [2, 5, 137]
1371 :  [3, 457]
1372 :  [2, 2, 7, 7, 7]
1373 :  [1373]
1374 :  [2, 3, 229]
1375 :  [5, 5, 5, 11]
1376 :  [2, 2, 2, 2, 2, 43]
1377 :  [3, 3, 3, 3, 17]
1378 :  [2, 13, 53]
1379 :  [7, 197]
1380 :  [2, 2, 3, 5, 23]
1381 :  [1381]
1382 :  [2, 691]
1383 :  [3, 461]
1384 :  [2, 2, 2, 173]
1385 :  [5, 277]
1386 :  [2, 3, 3, 7, 11]
1387 :  [19, 73]
1388 :  [2, 2, 347]
1389 :  [3, 463]
1390 :  [2, 5, 139]
1391 :  [13, 107]
1392 :  [2, 2, 2, 2, 3, 29]
1393 :  [7, 199]
1394 :  [2, 17, 41]
1395 :  [3, 3, 5, 31]
1396 :  [2, 2, 349]
1397 :  [11, 127]
1398 :  [2, 3, 233]
1399 :  [1399]
1400 :  [2, 2, 2, 5, 5, 7]
1401 :  [3, 467]
1402 :  [2, 701]
1403 :  [23, 61]
1404 :  [2, 2, 3, 3, 3, 13]
1405 :  [5, 281]
1406 :  [2, 19, 37]
1407 :  [3, 7, 67]
1408 :  [2, 2, 2, 2, 2, 2, 2, 11]
1409 :  [1409]
1410 :  [2, 3, 5, 47]
1411 :  [17, 83]
1412 :  [2, 2, 353]
1413 :  [3, 3, 157]
1414 :  [2, 7, 101]
1415 :  [5, 283]
1416 :  [2, 2, 2, 3, 59]
1417 :  [13, 109]
1418 :  [2, 709]
1419 :  [3, 11, 43]
1420 :  [2, 2, 5, 71]
1421 :  [7, 7, 29]
1422 :  [2, 3, 3, 79]
1423 :  [1423]
1424 :  [2, 2, 2, 2, 89]
1425 :  [3, 5, 5, 19]
1426 :  [2, 23, 31]
1427 :  [1427]
1428 :  [2, 2, 3, 7, 17]
1429 :  [1429]
1430 :  [2, 5, 11, 13]
1431 :  [3, 3, 3, 53]
1432 :  [2, 2, 2, 179]
1433 :  [1433]
1434 :  [2, 3, 239]
1435 :  [5, 7, 41]
1436 :  [2, 2, 359]
1437 :  [3, 479]
1438 :  [2, 719]
1439 :  [1439]
1440 :  [2, 2, 2, 2, 2, 3, 3, 5]
1441 :  [11, 131]
1442 :  [2, 7, 103]
1443 :  [3, 13, 37]
1444 :  [2, 2, 19, 19]
1445 :  [5, 17, 17]
1446 :  [2, 3, 241]
1447 :  [1447]
1448 :  [2, 2, 2, 181]
1449 :  [3, 3, 7, 23]
1450 :  [2, 5, 5, 29]
1451 :  [1451]
1452 :  [2, 2, 3, 11, 11]
1453 :  [1453]
1454 :  [2, 727]
1455 :  [3, 5, 97]
1456 :  [2, 2, 2, 2, 7, 13]
1457 :  [31, 47]
1458 :  [2, 3, 3, 3, 3, 3, 3]
1459 :  [1459]
1460 :  [2, 2, 5, 73]
1461 :  [3, 487]
1462 :  [2, 17, 43]
1463 :  [7, 11, 19]
1464 :  [2, 2, 2, 3, 61]
1465 :  [5, 293]
1466 :  [2, 733]
1467 :  [3, 3, 163]
1468 :  [2, 2, 367]
1469 :  [13, 113]
1470 :  [2, 3, 5, 7, 7]
1471 :  [1471]
1472 :  [2, 2, 2, 2, 2, 2, 23]
1473 :  [3, 491]
1474 :  [2, 11, 67]
1475 :  [5, 5, 59]
1476 :  [2, 2, 3, 3, 41]
1477 :  [7, 211]
1478 :  [2, 739]
1479 :  [3, 17, 29]
1480 :  [2, 2, 2, 5, 37]
1481 :  [1481]
1482 :  [2, 3, 13, 19]
1483 :  [1483]
1484 :  [2, 2, 7, 53]
1485 :  [3, 3, 3, 5, 11]
1486 :  [2, 743]
1487 :  [1487]
1488 :  [2, 2, 2, 2, 3, 31]
1489 :  [1489]
1490 :  [2, 5, 149]
1491 :  [3, 7, 71]
1492 :  [2, 2, 373]
1493 :  [1493]
1494 :  [2, 3, 3, 83]
1495 :  [5, 13, 23]
1496 :  [2, 2, 2, 11, 17]
1497 :  [3, 499]
1498 :  [2, 7, 107]
1499 :  [1499]
1500 :  [2, 2, 3, 5, 5, 5]
1501 :  [19, 79]
1502 :  [2, 751]
1503 :  [3, 3, 167]
1504 :  [2, 2, 2, 2, 2, 47]
1505 :  [5, 7, 43]
1506 :  [2, 3, 251]
1507 :  [11, 137]
1508 :  [2, 2, 13, 29]
1509 :  [3, 503]
1510 :  [2, 5, 151]
1511 :  [1511]
1512 :  [2, 2, 2, 3, 3, 3, 7]
1513 :  [17, 89]
1514 :  [2, 757]
1515 :  [3, 5, 101]
1516 :  [2, 2, 379]
1517 :  [37, 41]
1518 :  [2, 3, 11, 23]
1519 :  [7, 7, 31]
1520 :  [2, 2, 2, 2, 5, 19]
1521 :  [3, 3, 13, 13]
1522 :  [2, 761]
1523 :  [1523]
1524 :  [2, 2, 3, 127]
1525 :  [5, 5, 61]
1526 :  [2, 7, 109]
1527 :  [3, 509]
1528 :  [2, 2, 2, 191]
1529 :  [11, 139]
1530 :  [2, 3, 3, 5, 17]
1531 :  [1531]
1532 :  [2, 2, 383]
1533 :  [3, 7, 73]
1534 :  [2, 13, 59]
1535 :  [5, 307]
1536 :  [2, 2, 2, 2, 2, 2, 2, 2, 2, 3]
1537 :  [29, 53]
1538 :  [2, 769]
1539 :  [3, 3, 3, 3, 19]
1540 :  [2, 2, 5, 7, 11]
1541 :  [23, 67]
1542 :  [2, 3, 257]
1543 :  [1543]
1544 :  [2, 2, 2, 193]
1545 :  [3, 5, 103]
1546 :  [2, 773]
1547 :  [7, 13, 17]
1548 :  [2, 2, 3, 3, 43]
1549 :  [1549]
1550 :  [2, 5, 5, 31]
1551 :  [3, 11, 47]
1552 :  [2, 2, 2, 2, 97]
1553 :  [1553]
1554 :  [2, 3, 7, 37]
1555 :  [5, 311]
1556 :  [2, 2, 389]
1557 :  [3, 3, 173]
1558 :  [2, 19, 41]
1559 :  [1559]
1560 :  [2, 2, 2, 3, 5, 13]
1561 :  [7, 223]
1562 :  [2, 11, 71]
1563 :  [3, 521]
1564 :  [2, 2, 17, 23]
1565 :  [5, 313]
1566 :  [2, 3, 3, 3, 29]
1567 :  [1567]
1568 :  [2, 2, 2, 2, 2, 7, 7]
1569 :  [3, 523]
1570 :  [2, 5, 157]
1571 :  [1571]
1572 :  [2, 2, 3, 131]
1573 :  [11, 11, 13]
1574 :  [2, 787]
1575 :  [3, 3, 5, 5, 7]
1576 :  [2, 2, 2, 197]
1577 :  [19, 83]
1578 :  [2, 3, 263]
1579 :  [1579]
1580 :  [2, 2, 5, 79]
1581 :  [3, 17, 31]
1582 :  [2, 7, 113]
1583 :  [1583]
1584 :  [2, 2, 2, 2, 3, 3, 11]
1585 :  [5, 317]
1586 :  [2, 13, 61]
1587 :  [3, 23, 23]
1588 :  [2, 2, 397]
1589 :  [7, 227]
1590 :  [2, 3, 5, 53]
1591 :  [37, 43]
1592 :  [2, 2, 2, 199]
1593 :  [3, 3, 3, 59]
1594 :  [2, 797]
1595 :  [5, 11, 29]
1596 :  [2, 2, 3, 7, 19]
1597 :  [1597]
1598 :  [2, 17, 47]
1599 :  [3, 13, 41]
1600 :  [2, 2, 2, 2, 2, 2, 5, 5]
1601 :  [1601]
1602 :  [2, 3, 3, 89]
1603 :  [7, 229]
1604 :  [2, 2, 401]
1605 :  [3, 5, 107]
1606 :  [2, 11, 73]
